Gold Question	Modified Question	User Score 1	User Score 2
Is this a full size bus?	full size bus?	3	3
What color is the roof?	What color roof?	4	4
Did she hit the ball?	What are  she hit the ball?	3	3
What is displayed in the store window?	What displayed store window?	4	4
Are there sandals in the picture?	sandals picture?	4	4
What is the transport seen?	What is the transport ?	3	3
Do you see any planes?	see planes?	3	4
Is the man wearing socks?	man wearing socks?	4	4
Are the zebras grooming each other?	zebras grooming other?	3	4
Is there a plane in the sky?	Is there a plane in the ?	4	3
How many skateboards are under the man?	How many skateboards are under the ?	4	4
Is fruit on the woman's plate?	Is fruit on the woman's ?	2	2
What hand is the person holding the knife in?	What hand is the person holding the knife ?	5	5
Which animal is the tallest?	How many  animal is the tallest?	3	3
What is the number on the first bus?	What does  the number on the first bus?	4	4
Are these professional baseball players?	Are these professional baseball ?	3	4
Is this furniture available from Ikea?	Is this furniture available from ?	2	2
What two vehicles are in the picture?	What two vehicles are in the ?	3	3
Where are the horses at?	Where horses at?	2	2
What number is on the plane?	What animal t number is on the plane?	2	4
Are there four pillows on the bed?	Are there four pillows on the ?	3	3
What is the man doing?	What man doing?	4	4
Is the man in the green shirt watching TV?	Is the man in the green shirt watching ?	4	5
What dairy product is on this pizza?	What dairy product pizza?	4	4
Which side is the driver on?	Are  side is the driver on?	5	4
How many people are under the umbrella?	Which  people are under the umbrella?	3	4
What's the man throwing?	What's man throwing?	5	5
Is this window easy to break?	window easy break?	2	2
Are these military planes?	military planes?	5	3
What is he wearing?	What wearing?	2	2
Where is the cat?	Where is the ?	1	1
Are the appliances stainless steel?	Are the appliances stainless ?	5	5
Is there a microwave on the counter?	microwave counter?	2	2
What kind of horse is in the stall?	What kind of horse is in the ?	4	3
Does everyone have an umbrella?	Does everyone have an ?	2	5
Is the cake for someone's birthday?	What is  cake for someone's birthday?	2	2
Is the fence made of bamboo?	What type  fence made of bamboo?	4	5
Does the keyboard on the laptop work?	Does the keyboard on the laptop ?	3	4
What sport is being played on the TV?	What is  is being played on the TV?	5	5
What are they playing?	Where  they playing?	5	5
When were these objects placed on the lawn?	objects placed lawn?	3	3
Are there white lines on the ground?	white lines ground?	3	3
Is it daytime?	Is it ?	1	1
Is the person touching the ground?	person touching ground?	2	2
Is that coffee black?	Is that coffee ?	3	5
What animal is this?	What brand  is this?	3	3
Has the stop sign been vandalized?	stop sign vandalized?	4	4
What is on top of the hydrant?	What top hydrant?	2	2
Is road work being performed?	road work performed?	3	3
What day of the week is it?	What day of the week is ?	3	3
What color is the bracelet?	What color bracelet?	5	5
Is the girl holding a bat?	What are  girl holding a bat?	3	3
What is the name written on the back of number 26?	What is the name written on the back of number ?	5	5
What race is this man?	What time t race is this man?	2	2
What is the time shown on the clock?	What is the time shown on the ?	4	3
Are those human hands on the table?	Are those human hands on the ?	3	3
What is the skateboarder doing?	What brand  the skateboarder doing?	3	3
What color jersey is the catcher wearing?	What color jersey catcher wearing?	5	5
How many windows is there?	Do  windows is there?	4	4
Is he a real cowboy?	Which he a real cowboy?	3	4
What color is the fence?	What color is the ?	2	2
How many zebras?	What color  zebras?	5	5
What kind of sandwich is that?	What kind sandwich that?	4	4
What kind of animal is pictured?	Do  of animal is pictured?	2	2
What word is on the train?	Which t word is on the train?	3	3
Is this a salad?	salad?	3	3
What color is the man's hair?	What color is the man's ?	3	3
What color are the curtains in the dining room?	What type  are the curtains in the dining room?	5	5
What color are the flowers in the vase?	What color flowers vase?	3	3
Is this a motorcycle race?	motorcycle race?	3	3
How old is the girl?	old girl?	3	3
What color is the chair?	What color chair?	5	5
What color is the woman's hat?	What color is the woman's ?	2	2
What is this appliance used for?	What animal  this appliance used for?	3	3
What color is the horse?	Is the  is the horse?	3	3
How many trains are there?	How many trains are ?	4	3
Are there many vehicles shown?	Are there many vehicles ?	5	5
What color is the sky?	Do  is the sky?	3	3
Can you see fish in the lake?	see fish lake?	5	4
How many different type of computers are there?	How many different type of computers are ?	4	4
How many pictures are hung on the wall?	What sport  pictures are hung on the wall?	5	5
How many people are on the bike?	How many people are on the ?	3	3
What sport are they playing?	What brand  are they playing?	3	3
Is this bear at the zoo?	Is this bear at the ?	3	3
What color is the handle on the side by the door?	What color is the handle on the side by the ?	3	3
What is the cat sitting on?	What cat sitting on?	4	4
Is the man wearing any hat?	man wearing hat?	5	5
Is there any person trying to jump into the train tracks?	person trying jump train tracks?	5	4
What is in the bowl next to the chips?	Do  in the bowl next to the chips?	3	3
What is the name of the street?	Which  the name of the street?	4	4
Is the man protecting the cigarette machine?	Is the man protecting the cigarette ?	5	5
What transport is showing?	Why t transport is showing?	4	4
Are the vines cracking the walls?	What color  the vines cracking the walls?	4	4
What is the skateboarder doing?	Does  the skateboarder doing?	3	3
What is the man riding on?	What man riding on?	5	4
Are the people outside?	What type  the people outside?	4	4
Is the man an expert surfer?	Does  man an expert surfer?	4	4
Is this a tunnel?	What brand this a tunnel?	3	3
Where is the toothbrush?	Is there  is the toothbrush?	3	4
Who owns the plane?	Who owns the ?	2	2
Is the sky blue?	Is the sky ?	2	2
Is this room move in ready?	Is this room move in ?	4	4
How many people?	What time  people?	2	3
Is there an benches on the platform?	Does  an benches on the platform?	2	2
Is it a foggy day?	foggy day?	4	4
Was this photo taken in North America?	photo taken North America?	4	4
Where will the skateboard land?	Where will the skateboard ?	3	3
Is there a drink?	drink?	4	4
What sport is being played?	What sport is being ?	4	3
Do the cows look like twins?	Do the cows look like ?	3	3
Is the animal a sheep?	What kind  animal a sheep?	4	5
Does it look like it's going to rain?	How many  it look like it's going to rain?	3	3
Is the bathtub being reflected?	Why  bathtub being reflected?	4	4
Is there a bridge visible?	What time  a bridge visible?	4	5
What color is the grass?	What color grass?	5	5
Is the man wearing a bright jacket?	Is the man wearing a bright ?	3	3
Is windows running on the computers?	windows running computers?	3	3
If the owner went to Lugano in early July, would he make any friends?	If the owner went to Lugano in early July, would he make any ?	3	3
What kind of animal is this?	What kind of animal is ?	3	3
Is this dinner?	Is there this dinner?	3	4
Are the benches empty?	What brand  the benches empty?	3	3
What is the floor made out of?	What is the floor made out ?	5	4
What is around the dog's neck?	Are  around the dog's neck?	3	3
What kind of a building does this appear to be?	What kind of a building does this appear to ?	4	4
Are they in a tunnel?	What animal  they in a tunnel?	3	3
How many different species are visible?	How many different species are ?	4	3
What is the view of?	What view of?	2	1
What is the man's name?	What is the man's ?	3	3
Are there only three animals?	three animals?	3	3
Is the baby old enough to walk?	baby old enough walk?	4	4
Would this woman be hearing a great deal of noise?	What color ld this woman be hearing a great deal of noise?	3	3
What color is the small patch on the horse's head?	What color small patch horse's head?	5	5
Is the plane on the runway?	plane runway?	3	4
What is this food called?	Are  this food called?	2	4
How many stop signs are shown?	many stop signs shown?	3	3
Is something cooking?	Does something cooking?	4	4
What is the round object between the buildings?	Is there  the round object between the buildings?	5	5
Is the woman wearing shorts?	Is the woman wearing ?	3	3
What color is the dog?	What color dog?	5	5
What is the man holding?	What is the man ?	3	3
Is there a bird in the sky?	What kind  a bird in the sky?	4	4
Is this in the White House?	Is the this in the White House?	3	3
Is this a public bathroom?	What sport this a public bathroom?	3	2
What court surface is pictured?	What court surface is ?	3	3
What color stripes are on the toddler's shirt?	What color stripes toddler's shirt?	5	5
How many cooking pots are on the stove?	How many cooking pots are on the ?	3	3
What kind of trees are in this photo?	What kind trees photo?	4	4
Which one of these pictures was taken near the ground?	Is there  one of these pictures was taken near the ground?	4	4
How many sinks are there?	Does  sinks are there?	3	4
Is there anything hanging on their neck?	Where  anything hanging on their neck?	3	5
What is the red color object on the ground?	Is the  the red color object on the ground?	3	5
Is this animal eating?	Where this animal eating?	4	4
Is this a kitchen?	kitchen?	3	3
Is the man wearing a helmet?	Is the man wearing a ?	3	3
What is causing the yellow glow?	Which  causing the yellow glow?	4	4
What is the dog doing?	What are  the dog doing?	4	5
What powers the train?	What brand t powers the train?	4	5
How many clocks are there?	many clocks there?	4	4
Is this a marshmallow pie?	Is this a marshmallow ?	5	5
What do the wooden blocks hold?	What type t do the wooden blocks hold?	3	3
Is there a bird on the table?	What time  a bird on the table?	3	3
What color is that car?	Does  is that car?	3	2
Is this a flat screen TV?	flat screen TV?	5	3
What year is printed on the photo?	What year printed photo?	4	4
What time does the clock say?	What time does the clock ?	4	4
Is the women amazed at the size of his bite?	women amazed size bite?	3	3
How is the ceiling?	Which  is the ceiling?	3	5
Is one donut covered in chocolate?	Is one donut covered in ?	3	3
What would be a better way to organize the bin on the floor?	What would better way organize bin floor?	4	4
Is this food for an animal?	food animal?	3	3
Are they wearing helmets?	wearing helmets?	3	3
What's the weather like?	What is t's the weather like?	3	3
Where is the blue water?	Where is the blue ?	3	3
Does the giraffe have white lines?	giraffe white lines?	3	4
Is this during the daytime or nighttime?	daytime nighttime?	5	5
What is covering the ground?	What is covering the ?	2	2
What does the sign with the pink flower say?	What sign pink flower say?	4	4
How many cars are in this photo?	Which  cars are in this photo?	3	5
Is this train working?	train working?	4	4
What holiday is associated with what is on the table?	What holiday is associated with what is on the ?	3	3
What is this dog doing?	What dog doing?	4	4
How many buildings are pictured?	What are  buildings are pictured?	3	4
How many elephants?	What does  elephants?	3	3
What are the men playing?	Are  the men playing?	5	5
What is behind the cat?	What is behind the ?	3	2
What are the bottoms of the chairs made of?	What bottoms chairs made of?	4	5
What are on the men's head?	What men's head?	3	3
Is the sky stormy?	Is the sky ?	3	3
What country's does the plane belong to?	What color t country's does the plane belong to?	3	3
Did this animal get here in one of the vehicles?	What is  this animal get here in one of the vehicles?	3	4
Is the fence made of concrete or wood?	fence made concrete wood?	5	4
What method of transportation is this?	What is t method of transportation is this?	4	4
What is the man holding up to his ear?	What is the man holding up to his ?	3	3
What kind of room is this?	What kind of room is ?	3	3
Are they crossing the street?	Are they crossing the ?	4	3
Is it dark outside?	dark outside?	4	4
What number is on the plane?	What time t number is on the plane?	3	3
Is the woman sitting?	woman sitting?	3	2
What is the child wearing around his neck?	What are  the child wearing around his neck?	5	5
What number is near the hole?	What number near hole?	4	4
Which faucet is the stopper hanging from in the sink?	faucet stopper hanging sink?	4	4
What type of animal is visible in this picture?	What type animal visible picture?	5	5
How many trees are in the picture?	Where  trees are in the picture?	3	5
How many gray cats are there?	How many gray cats are ?	3	4
What game console are they playing?	What game console playing?	5	4
What kind of fridge is that?	What kind of fridge is ?	4	4
What color is the grass?	What color is the ?	2	2
Is this a nicely decorated kitchen?	nicely decorated kitchen?	4	4
What color is the light?	What color light?	5	5
Are there rocks on the wall?	rocks wall?	3	3
What is green in pan?	Who  green in pan?	5	4
What animal is standing outside the car?	What animal standing outside car?	4	4
Does the shower offer privacy?	What type  the shower offer privacy?	3	3
What website is on the computer on the right?	What does t website is on the computer on the right?	3	3
Is the car in the road moving?	Is the car in the road ?	5	5
How many stop lights can you see?	many stop lights see?	4	4
Is the sky clear?	sky clear?	4	4
What city is this in?	What city in?	3	3
Are there any harley?	Are there any ?	1	1
Are the shower and tub combined?	Are the shower and tub ?	3	3
Is this a typical teddy bear?	Is this a typical teddy ?	5	5
What kind of glasses are on the shelf in the back?	Why  of glasses are on the shelf in the back?	4	4
What are the bears in?	What are the bears ?	3	3
Are there any dolphins here?	dolphins here?	3	3
How many eyes are there?	What time  eyes are there?	3	3
Where is the cat looking?	Where cat looking?	4	5
What is this room used for?	What are  this room used for?	4	4
Is it dark outside?	Why it dark outside?	4	4
What animal is stuffed?	What animal is ?	3	2
What is the bear laying on?	Do  the bear laying on?	3	3
How many pots are there?	What animal  pots are there?	3	3
What is he holding?	What holding?	1	2
What are the ropes wrapped around?	What are the ropes wrapped ?	3	3
How many boats do you see?	How many boats do you ?	4	5
What time of the day was this frame shot?	What time day frame shot?	4	4
What is on the rack?	Is the  on the rack?	3	2
What number is on the sign?	What number is on the ?	3	3
Is he watching the sunrise?	watching sunrise?	3	3
What is the street name?	What is the street ?	3	3
Is the man farthest to the left wearing a head covering?	man farthest left wearing head covering?	4	4
Is she dancing?	Is she ?	3	3
Is the boy grinding?	Is the boy ?	2	2
Are the signs in English?	Are the signs in ?	3	3
Which direction are the arrows pointing?	Does  direction are the arrows pointing?	4	5
Which hand is the woman holding the cellphone in?	Why  hand is the woman holding the cellphone in?	3	3
Is a woman driving the first vehicle?	Are a woman driving the first vehicle?	3	3
What is the plate made of?	What is the plate made ?	4	4
Are the people cold?	Who  the people cold?	3	4
Is coal the source for the train?	Does coal the source for the train?	4	4
What is the dog chewing on?	What dog chewing on?	4	4
Are these home's of people?	home's people?	3	3
Are there a lot of bags on the floor?	Why  there a lot of bags on the floor?	5	5
Is the giraffe eating leaves?	Is the giraffe eating ?	4	4
Are they on a beach?	What brand  they on a beach?	2	2
Is that a tree?	Is that a ?	1	1
What color is the suitcase?	What are  is the suitcase?	2	3
Is this a zoo?	zoo?	3	3
Is the plane taking off or landing?	Is the plane taking off or ?	5	4
How many axles does this vehicle have?	What color  axles does this vehicle have?	5	5
What is the color of the umbrella?	What is the color of the ?	2	2
How many boats are pictured here?	Do  boats are pictured here?	4	4
What is on top of the cupcake?	What does  on top of the cupcake?	4	4
How many slice does the pizza have?	What does  slice does the pizza have?	5	4
Who made this bed up?	Who made bed up?	3	3
Is he standing?	standing?	1	1
What is inside the door?	What inside door?	5	5
What color is the airplane?	What color is the ?	2	2
What brand tennis shoes does the girl on the left have on?	What brand tennis shoes does the girl on the left have ?	5	5
What kind of decor is on top of the pie?	What kind decor top pie?	5	4
How many towels are on the bed?	What sport  towels are on the bed?	4	4
What is the couple cutting?	What is the couple ?	3	3
Does the girl have short hair?	Does the girl have short ?	3	3
Are the waves big?	Is the  the waves big?	5	5
What type of decoration is pictured?	What type of decoration is ?	3	3
Are they skiing?	Are they ?	1	1
Is the mouse wireless?	What sport  mouse wireless?	2	3
What is casting the shadow?	What casting shadow?	3	4
What kind of animal is shown?	What kind of animal is ?	3	3
What is the man doing?	What is the man ?	3	3
Are there people on the upper level of the bus?	people upper level bus?	3	3
What does the blue sign on the left mean?	What blue sign left mean?	4	4
Is the cat only orange?	What is  cat only orange?	4	3
What type of furniture are they on?	What type of furniture are they ?	4	4
What is the color of the man's outfit?	What color man's outfit?	5	5
What sport is he playing?	Is the  is he playing?	3	3
What is the story behind the group?	What story behind group?	4	4
What is written on the red sign?	What is written on the red?	3	3
Is there any towels?	How many  any towels?	4	3
What building is the train next to?	Why t building is the train next to?	4	4
Who is out of focus?	What kind  is out of focus?	3	3
What kind of room is shown?	What kind of room is ?	3	3
How many birds?	many birds?	4	3
What is in the man's hand?	What does  in the man's hand?	4	4
What is she doing?	What is she ?	3	2
Which cake is almost gone?	What is  cake is almost gone?	4	4
What is the boy sleeping with?	What time  the boy sleeping with?	3	4
What animal is this?	What time  is this?	4	4
How many different known songs can you play on a keyboard?	many different known songs play keyboard?	4	4
What are they playing?	What playing?	3	3
Is this summertime?	Is this ?	1	1
What game are the people playing?	What are t game are the people playing?	5	5
Is this a new bathroom?	Is this a new ?	2	2
What brand of water is being displayed on the left of the photo?	What brand of water is being displayed on the left of the ?	3	3
Are they wearing something on their head?	wearing something head?	3	4
Are these the same type of bird?	type bird?	3	3
What is the object to the left of the bear?	Is the  the object to the left of the bear?	4	4
What type of bird is this?	What type bird this?	5	5
Is it on a plate?	plate?	3	3
What type of sign is shown?	What type of sign is ?	3	3
What does the hamburger have stuck on top of it with a toothpick?	What hamburger stuck top toothpick?	3	4
Why are the four horses on the street?	Why four horses street?	3	4
What is the weather?	What is the ?	1	1
What is the color of the motorcycle?	What color motorcycle?	5	5
What is the bear walking through?	What brand  the bear walking through?	2	2
Is there a bus visible?	Are  a bus visible?	4	5
What is in the right corner of the picture?	Does  in the right corner of the picture?	3	2
Is it raining?	raining?	3	3
Are there large rocks by the beach?	Are there large rocks by the ?	3	3
How many floors does the bus have?	many floors bus have?	4	4
Are there potatoes on the plate?	What is  there potatoes on the plate?	4	4
What color are his pants?	What color are his ?	2	2
What does the blue sign say?	How many  the blue sign say?	3	3
Does the man have a beard?	Where  the man have a beard?	4	4
What color is the post?	What time  is the post?	4	4
Is that an electric lamp near the wall?	What time that an electric lamp near the wall?	1	1
Is this a pancake?	Is this a ?	1	1
What is on the skier's head?	What is on the skier's ?	3	5
What pet store is shown in the image?	Which pet store is shown in the image?	5	5
Is the baby naked?	Is the baby ?	2	2
Are people sunbathing?	Are people ?	3	2
Are all the lights turned off?	Do  all the lights turned off?	4	4
Is he signing autographs?	signing autographs?	4	4
How many lamps are there?	many lamps there?	3	3
Is a tractor visible?	tractor visible?	5	4
Is the zebra eating?	zebra eating?	4	4
Is her hair color natural?	hair color natural?	3	4
How many people are in the water?	Does  people are in the water?	3	3
Is the street wet?	What is  street wet?	3	3
How many squares is the window divided into?	How many squares is the window divided ?	5	5
Is this a pizza?	pizza?	3	3
How many people can sit on this toilet at once?	What brand  people can sit on this toilet at once?	3	3
What is the man holding?	Who  the man holding?	3	4
What is the girl doing to her hair?	Why  the girl doing to her hair?	4	4
What animal is in the photo?	What animal is in the ?	3	3
What type of building is this?	Is the  of building is this?	3	3
Why would a fire hydrant be in someone's front yard?	How many  would a fire hydrant be in someone's front yard?	5	4
Are those baseball players?	Are those baseball ?	4	4
How many hot dogs are there?	Why  hot dogs are there?	3	4
Is this healthy?	healthy?	2	2
What is stuck into the sandwich?	What is stuck into the ?	2	2
What type of vehicle is nearest the room?	What time  of vehicle is nearest the room?	3	4
Are the potatoes mashed?	Are the potatoes ?	3	3
What color are the tennis player's shoes?	What time  are the tennis player's shoes?	3	3
Is the activity shown healthy?	activity shown healthy?	4	4
Are they a gang?	gang?	3	3
What is the dog sitting on?	What dog sitting on?	4	4
IS this a doll?	doll?	3	3
Is there a painting in the room?	Is there a painting in the ?	2	2
What is the purpose of the white object with propellers?	What is the purpose of the white object with ?	3	3
Is there sand on the beach?	How many  sand on the beach?	3	4
What type of flag is flying in the background?	What type flag flying background?	5	5
What is on the counter next to the toilet?	What does  on the counter next to the toilet?	5	4
Which direction is the animal facing?	Which direction is the animal ?	3	3
Are they gather around a fountain?	Are they gather around a ?	3	2
Where would you take your dirty clothing to be washed?	Where would you take your dirty clothing to be ?	3	4
Is the plane flying?	Who  plane flying?	2	2
What animal is standing next to the Zebra?	What animal standing next Zebra?	5	5
How many pies are there?	What brand  pies are there?	5	5
What company is on the brown baseball cap?	What company brown baseball cap?	4	4
What is the man doing?	What man doing?	5	5
What color is the horse?	What color is the ?	2	2
Is this kitchen cleaned up?	What does this kitchen cleaned up?	2	2
Is there a desk drawer?	Do  a desk drawer?	3	4
What is the girl wearing on her head?	What is the girl wearing on her ?	3	3
What is the elephant doing?	What elephant doing?	5	5
Are there train tracks in this photo?	train tracks photo?	4	4
What color is the bus?	What color bus?	4	4
What room is this?	What brand t room is this?	2	2
Where is the dog lying?	What animal  is the dog lying?	3	4
Was this taken from the car?	Why  this taken from the car?	2	2
Are the doors on the train open?	doors train open?	4	4
Would the harness fit a zebra?	Where ld the harness fit a zebra?	3	4
Is this a normal surface for a truck to drive on?	Is this a normal surface for a truck to drive ?	5	5
Where is the bike?	Where is the ?	1	1
Has anyone has any pizza?	Has anyone has any ?	2	1
Does the water look clean?	water look clean?	4	4
Does the driver of the first bike have tattoos?	Does the driver of the first bike have ?	3	3
What is in the water?	What water?	3	3
What is the person touching?	Is the  the person touching?	3	3
Is everyone facing the same direction?	How many everyone facing the same direction?	4	4
Is there any meat in the picture?	meat picture?	3	3
Is the comfortable?	comfortable?	2	2
Is the grass free of weeds?	Why  grass free of weeds?	4	4
What is the time shown on the clock?	What is the time shown on the ?	3	3
Are the zebras in a green field?	What does  the zebras in a green field?	4	4
Why are the people dressed in thick clothing?	Why are the people dressed in thick ?	5	4
What color is the ground?	Does  is the ground?	3	3
What is in front of the car?	What brand  in front of the car?	3	3
Is this a castle?	Is this a ?	1	1
What is the color of cap?	What color cap?	4	4
Can you find the image in plane?	Can you find the image in ?	4	3
Where is the dog?	Where is the ?	1	1
What is the man holding?	What man holding?	5	5
What is on his eye?	What is on his ?	3	3
What is the man standing on?	Who  the man standing on?	3	4
Should he be wearing a helmet?	wearing helmet?	4	4
Is there a black base in the picture?	Why  a black base in the picture?	3	3
Is the horse in motion?	Is the horse in ?	3	3
Is there a fireplace in this house?	Do  a fireplace in this house?	4	4
What type of vehicle is displayed?	What type vehicle displayed?	5	5
What is the train riding on?	What brand  the train riding on?	3	3
What is the toy being shown?	What toy shown?	4	4
What shape is in the middle of the fruit getting cut?	How many t shape is in the middle of the fruit getting cut?	5	5
Is there candy?	candy?	3	3
What is the plastic object to the left of the suitcase?	What is the plastic object to the left of the ?	3	3
Are there any trees?	What does  there any trees?	3	4
What is the man about to swing?	What man swing?	3	4
Is this an elephant herd?	elephant herd?	5	3
Is this photo in color?	photo color?	3	3
Are the lights on the back wall on the right multicolored?	lights back wall right multicolored?	4	4
What is the time shown on the clock?	Are  the time shown on the clock?	5	5
What are they doing?	What are they ?	3	1
How is he getting around the town?	Is there  is he getting around the town?	3	4
What is the rider reaching for?	What rider reaching for?	3	3
Is this picture taken at an airport or a shopping mall?	picture taken airport shopping mall?	5	4
Is this in a zoo?	zoo?	3	3
What are the numbers on the license plate?	What numbers license plate?	5	5
What is against the sign?	What is against the ?	2	3
What is the blue background made of?	Is the  the blue background made of?	3	3
What color or the chair covers?	What color chair covers?	5	5
What are they holding on?	What brand  they holding on?	3	4
What color is the picture?	What kind  is the picture?	2	2
What are the people making?	What people making?	1	1
What is holding between his legs?	Who  holding between his legs?	1	1
Are there oranges in the bowl?	What sport  there oranges in the bowl?	2	3
Who rides this kind of scooter?	Which  rides this kind of scooter?	4	4
Does he have jeans on?	jeans on?	3	3
Where is the umbrella?	Where umbrella?	3	3
Does a man or woman have their legs crosses?	Does a man or woman have their legs ?	3	3
Is the kid flying a kite?	kid flying kite?	3	3
Is it raining here?	Is it raining ?	5	5
What is the name of the aviation company?	What is the name of the aviation ?	5	4
How many sheep do you see?	What does  sheep do you see?	3	4
Is this bathroom finished?	Why this bathroom finished?	3	2
What shape is the pizza?	Where t shape is the pizza?	3	3
What kind of container is the paper in?	Which  of container is the paper in?	3	5
Are those delivery trucks?	Are those delivery ?	1	1
What is the wallpaper of?	What is the wallpaper ?	3	3
Is this a girl?	What are this a girl?	3	3
What color is the ball?	What color ball?	4	5